iter	Logloss
0	0.6927889421
1	0.6924891596
2	0.6921679874
3	0.6918715422
4	0.6915620792
5	0.6913510622
6	0.6910372962
7	0.690730618
8	0.6904810415
9	0.6902455075
10	0.6899617691
11	0.6897194497
12	0.6894390452
13	0.6892356546
14	0.6890312988
15	0.6887490878
16	0.6885359764
17	0.6883205838
18	0.6880465952
19	0.6878541161
20	0.6876234536
21	0.6873791648
22	0.6871731738
23	0.6869314904
24	0.6867947787
25	0.686587045
26	0.6864291
27	0.6862592667
28	0.6859882552
29	0.6858660185
30	0.6856199087
31	0.6854218229
32	0.6852451899
33	0.6850344876
34	0.6848292331
35	0.6846864222
36	0.6845288385
37	0.6843610164
38	0.6841609153
39	0.6839850036
40	0.6838121907
41	0.6836825401
42	0.6834991599
43	0.6833681602
44	0.6832682533
45	0.6830930946
46	0.6829020056
47	0.6827634207
48	0.6826834813
49	0.6825470732
50	0.6823806666
51	0.6822139698
52	0.6820714607
53	0.681917662
54	0.6818161228
55	0.6816892964
56	0.6815731299
57	0.6814594194
58	0.6813630374
59	0.6812519291
60	0.6810884519
61	0.6809317511
62	0.6807706335
63	0.6806128878
64	0.6804515815
65	0.6803286947
66	0.6801404421
67	0.67999099
68	0.6798456585
69	0.6797404079
70	0.6796291469
71	0.6794534609
72	0.6793359287
73	0.6791931764
74	0.6790928928
75	0.6789747151
76	0.6788684086
77	0.6786883334
78	0.6785708905
79	0.6784071274
80	0.678284095
81	0.6781540297
82	0.6780164712
83	0.677928906
84	0.6777586766
85	0.6776346107
86	0.6775160304
87	0.6773874382
88	0.6773242788
89	0.6772226935
90	0.6771117646
91	0.677004182
92	0.6768831287
93	0.6767778018
94	0.6766918713
95	0.6765701389
96	0.6764646194
97	0.676375439
98	0.6762124056
99	0.6760338775
100	0.6759049731
101	0.6757982473
102	0.6756649144
103	0.6755100169
104	0.6754468525
105	0.6753264348
106	0.6752635761
107	0.6751442648
108	0.6750414051
109	0.6749572872
110	0.6748497533
111	0.6747762613
112	0.6746312758
113	0.6744890779
114	0.674436293
115	0.6742947056
116	0.6741925235
117	0.6740852104
118	0.6740354663
119	0.673966381
120	0.6738613173
121	0.6737352992
122	0.6735804336
123	0.673513636
124	0.6734196988
125	0.6733487709
126	0.6732670647
127	0.6731961719
128	0.6730788121
129	0.6729629915
130	0.6728826263
131	0.672804827
