iter	Passed	Remaining
0	190	190029
1	216	107990
2	241	80389
3	267	66549
4	292	58216
5	315	52270
6	340	48287
7	362	44933
8	383	42214
9	403	39928
10	424	38125
11	444	36631
12	465	35310
13	485	34213
14	506	33256
15	527	32442
16	549	31749
17	568	31013
18	589	30419
19	608	29837
20	629	29334
21	649	28881
22	669	28426
23	689	28056
24	709	27672
25	730	27351
26	750	27051
27	770	26742
28	790	26480
29	809	26176
30	829	25936
31	851	25761
32	875	25645
33	899	25553
34	923	25450
35	945	25325
36	966	25167
37	986	24977
38	1006	24806
39	1026	24630
40	1046	24486
41	1067	24344
42	1086	24181
43	1105	24017
44	1126	23900
45	1145	23760
46	1167	23663
47	1186	23531
48	1206	23412
49	1225	23292
50	1245	23184
51	1266	23088
52	1286	22981
53	1305	22871
54	1325	22777
55	1346	22698
56	1366	22608
57	1387	22538
58	1407	22450
59	1426	22353
60	1480	22797
61	1506	22788
62	1528	22731
63	1580	23114
64	1605	23099
65	1625	23008
66	1646	22922
67	1664	22814
68	1685	22737
69	1704	22650
70	1724	22570
71	1745	22491
72	1764	22410
73	1784	22332
74	1805	22262
75	1825	22199
76	1846	22130
77	1866	22065
78	1886	21998
79	1907	21932
80	1960	22242
81	1980	22170
82	2002	22119
83	2041	22261
84	2069	22276
85	2089	22206
86	2109	22132
87	2128	22060
88	2147	21986
89	2167	21916
90	2188	21857
91	2208	21801
92	2228	21737
93	2248	21675
94	2270	21626
95	2289	21561
96	2310	21509
97	2330	21449
98	2350	21393
99	2370	21336
100	2390	21282
101	2412	21236
102	2432	21183
103	2450	21115
104	2471	21065
105	2491	21013
106	2510	20949
107	2530	20897
108	2549	20839
109	2569	20790
110	2590	20747
111	2609	20692
112	2630	20644
113	2649	20592
114	2669	20541
115	2689	20492
116	2708	20443
117	2737	20459
118	2784	20616
119	2807	20589
120	2861	20787
121	2889	20791
122	2909	20743
123	2928	20690
124	2949	20644
125	2968	20592
126	2988	20540
127	3008	20497
128	3028	20450
129	3050	20414
130	3070	20366
131	3089	20318
